ds,avg_temp,avg_temp_lower,avg_temp_upper,min_temp,min_temp_lower,min_temp_upper,max_temp,max_temp_lower,max_temp_upper,precipitation,precipitation_lower,precipitation_upper,feels_like,feels_like_lower,feels_like_upper,max_feels_like,max_feels_like_lower,max_feels_like_upper,min_feels_like,min_feels_like_lower,min_feels_like_upper,humidity,humidity_lower,humidity_upper
2025-10-31,26.759610493241397,24.581259354313946,28.80693448408026,23.33840202663478,20.891373562159195,25.635426229468102,30.567975915903443,27.98922446406794,33.32481189047148,2.9697595724539694,-15.405126927853432,19.97869835931079,27.476894206873695,23.394770081540766,31.75321846971365,32.09598089829165,27.2092796030853,37.128015069090914,22.675089194695534,18.287531808755737,26.993107678970834,74.12692455343719,65.14950805793274,83.18800437226204
2025-11-01,26.640662373424778,24.64288667386688,28.942949861418555,23.159915170787567,20.82241406301339,25.622417263949423,30.45551021248435,27.656951926820003,33.25303472259192,1.2044288205217653,-16.998522156442846,17.87733715659144,27.34288420406499,23.03417231573941,31.43744953649769,31.82278169983294,26.717417828424793,36.61173808670779,22.5921038896626,18.027267587160534,27.21676055188445,73.43424231448557,63.969778104209894,82.77911908303861
2025-11-02,26.50880770192602,24.329343795864546,28.582647654391348,22.940592557416554,20.495126839390398,25.165235170952162,30.45558466905883,27.777004527303706,33.236328250863146,0.7157254472622263,-15.297223641922471,18.608377915654497,26.994294121489737,22.891096198015713,31.31054324041531,31.3363599183146,26.597635305824266,36.48766981466433,22.432758171215173,18.150605593414177,26.95748398277186,72.77835476774787,63.68889347413219,82.35665119637626
2025-11-03,26.367447324184205,24.232645553625954,28.45454699436733,22.65100616561542,20.228323428535244,24.980969065607717,30.30166802542517,27.579313392476852,32.9010167632968,2.275927913232942,-15.22717414319723,19.03592967216519,26.641675663308543,22.639135685764884,30.596781793415747,30.855699062415816,25.953391308082836,36.212567375729996,22.02217528242404,17.556592366128804,26.470504984472814,72.04140823548232,62.54230215997595,81.24000892013055
2025-11-04,26.272696245913473,24.18787729566828,28.3451053363892,22.618895829186517,20.3267172442147,24.978719139866925,30.23394242380047,27.424327798263015,32.81612154951228,1.317731308169849,-15.476203344964553,18.36833663485333,26.405565904604877,22.361702815699815,30.539099178779697,30.606857369392213,25.375312171388856,35.356521815524744,21.899079236590484,17.6530305596568,26.6798517738734,71.93744224384031,62.401415085523226,81.41220334857665
2025-11-05,26.141213228456152,23.937654530466656,28.323872107024687,22.535863834677325,20.334062677081636,24.8423656412965,30.052886184434865,26.968655256203697,32.80639754379889,2.439523556200471,-15.02205778914143,19.50768040260011,26.101478456092302,22.00921032570182,30.17677328645106,30.19479556234473,25.3766321278625,35.05587190658305,21.762159361191323,17.376096596502187,26.543236971564482,71.70525715991312,62.68209141745216,81.4833345644524
2025-11-06,25.97199945127742,23.810201538013896,28.020478520097573,22.252855589328703,19.89103208281981,24.537938533564116,29.969711652779008,27.097995236888536,32.89675906296238,1.6854978651011625,-14.838836241082918,18.558257970575326,25.84705745976885,21.727081969897583,29.851194741801248,29.949060825509637,24.84976154727922,34.6960765332808,21.518412864480002,17.146146770467812,26.406366655365282,71.26723754945138,62.40764418891992,81.17566256228173
2025-11-07,25.88067037816259,23.718101761680654,28.00587534026546,22.002672975975813,19.490048901901687,24.20478807606448,29.991679070933003,27.05091416120634,32.886074931626894,1.2089734655963227,-16.32141112458909,18.891435071704862,25.756167285121222,21.70425287510803,29.620267090502136,29.913709894273445,24.720972451895026,34.827191984513355,21.267514513172635,16.906928593953285,25.476065093167815,70.07935794167781,59.94737260927717,78.85254119549043
2025-11-08,25.781391523960448,23.4691606331404,27.989536899155475,21.859744445950845,19.36184101007966,24.17806193703619,29.904857447465844,27.12448464789705,32.760758614433165,-0.39935766266245754,-16.79265729680589,16.99108312408648,25.749647821823498,21.911134311880605,29.691100106218418,29.812857108621774,25.01544684397941,35.022279306363224,21.30262030632307,17.3653211056961,25.688358985255572,69.50446720865888,60.13187949785932,79.42172932823567
2025-11-09,25.66622167957286,23.50259069569245,27.852203507635252,21.67736658254515,19.384299445660965,24.026521945957118,29.924571183329597,27.096058434204803,32.76566842665117,-0.7127864795157794,-17.784036381337877,17.35317300224985,25.519898034341907,21.48057844336794,29.702035625617228,29.491063224474875,24.711876543780026,34.46208413841536,21.253932819188755,16.873137754460014,25.94332694134486,69.01325619114616,59.59456984475914,78.73348798521297
2025-11-10,25.53787256515189,23.40562087146468,27.604215083634546,21.425290322861972,19.109711607292535,23.75179402252322,29.78337870456293,27.10007102714797,32.50657103615081,1.038106981683887,-15.977854906652778,17.796378255691415,25.27539027177729,20.9069349031701,29.43206790935037,29.16435268711389,24.10739570149715,33.82751859041396,20.944626514944687,16.700870598309475,25.332234672578952,68.48713073136499,58.39576028888668,77.75798606118161
